epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8677,2.71204,6.03607,0.71247,3.84792,2.78024,0.30502,0.19231,0.17083,0.04359,0,0,0,0,2.42633,8.89899,0.72188,2.72916,2.61138,0.00016,0.00016,0.00016
2,26.8537,1.81849,5.36795,0.68454,2.09528,2.08142,0.53855,0.58373,0.64319,0.1766,0,0,0,0,2.23492,8.66989,0.69582,2.65421,2.29271,0.000336634,0.000336634,0.000336634
3,31.5059,1.38658,5.14537,0.67452,1.40838,1.66585,0.79837,0.7617,0.84227,0.38681,0,0,0,0,1.86174,8.08434,0.63121,1.59774,2.10685,0.000509704,0.000509704,0.000509704
4,35.7588,1.4361,3.68768,0.70322,1.23862,1.75517,0.79613,0.90149,0.91402,0.47542,0,0,0,0,1.60309,6.20455,0.52651,1.57489,1.90561,0.00067921,0.00067921,0.00067921
5,38.3047,1.2766,3.4419,0.70787,1.00669,1.54317,0.87968,0.84366,0.95564,0.34958,0.14681,0.07692,0.04382,0.00595,2.02915,5.62288,0.55681,1.70015,2.64895,0.000845152,0.000845152,0.000845152
6,40.8962,1.37906,3.00321,0.69736,0.97014,1.64645,0.75734,0.92308,0.92322,0.48727,0.44245,0.34615,0.32247,0.1062,1.63734,5.32409,0.54117,1.79465,2.11666,0.00100753,0.00100753,0.00100753
7,43.2836,1.31406,2.62154,0.68466,0.95007,1.56941,0.66449,0.80769,0.78566,0.32655,0.53924,0.57692,0.56528,0.16613,2.11766,4.3405,0.57451,2.80055,2.25055,0.00116634,0.00116634,0.00116634
8,45.698,1.17287,2.7235,0.6702,0.86559,1.46815,0.78203,0.82832,0.89111,0.49064,0.62804,0.42308,0.36496,0.10405,1.45693,4.1276,0.61326,1.82266,1.92479,0.00132159,0.00132159,0.00132159
9,48.051,1.18791,2.4679,0.62966,0.90241,1.46093,0.92192,0.90867,0.9782,0.58135,0.84418,0.83379,0.81062,0.15171,1.32979,3.59884,0.66029,1.39676,1.92717,0.00147328,0.00147328,0.00147328
10,50.434,1.31293,2.40376,0.65699,1.00557,1.61727,0.62173,0.92308,0.84088,0.46112,0.47506,0.88462,0.55633,0.15983,1.61326,3.51947,0.82782,1.95807,2.16237,0.0016214,0.0016214,0.0016214
11,52.726,1.34,2.24165,0.64475,0.98471,1.59567,0.6726,0.96154,0.91851,0.48407,0.56988,0.84615,0.6187,0.20253,1.71297,2.89276,0.80552,1.64873,2.36105,0.00176596,0.00176596,0.00176596
12,55.062,1.16933,1.99325,0.66218,0.86538,1.45545,0.66936,0.85674,0.89845,0.46798,0.67048,0.86112,0.82669,0.31772,1.7133,2.80716,0.79724,1.66406,2.10092,0.0017822,0.0017822,0.0017822
13,57.5322,1.14141,1.98917,0.6492,0.85902,1.51017,0.9238,0.93278,0.98733,0.39984,0.95977,0.91778,0.96035,0.37949,2.06406,2.46064,0.75387,1.2744,2.63758,0.0017624,0.0017624,0.0017624
14,59.8209,1.14918,1.70128,0.63646,0.81279,1.47519,0.93616,0.96154,0.98978,0.47597,0.98863,0.88462,0.95997,0.4361,1.86355,2.05808,0.71998,0.89614,2.45517,0.0017426,0.0017426,0.0017426
15,62.0215,1.11479,1.6929,0.64132,0.84491,1.44606,0.84314,0.96154,0.9662,0.56681,0.84314,0.96154,0.9662,0.53153,1.30074,1.79337,0.74926,0.91833,1.80584,0.0017228,0.0017228,0.0017228
16,64.2893,1.25023,1.9724,0.60754,0.88621,1.5806,0.8998,0.76923,0.91177,0.46051,0.82682,0.73077,0.83534,0.45926,1.69295,2.18476,0.82531,1.32202,2.0913,0.001703,0.001703,0.001703
17,66.4844,1.11873,1.53207,0.5891,0.81796,1.45539,0.85859,0.96154,0.96633,0.42553,0.89408,1,0.96685,0.39754,1.9189,1.81951,0.81559,1.7387,2.22434,0.0016832,0.0016832,0.0016832
18,68.5886,1.19544,1.47087,0.58845,0.83447,1.44671,0.98117,1,0.995,0.53087,0.9588,0.96154,0.96453,0.43603,1.52854,1.6345,0.69367,1.27785,1.94314,0.0016634,0.0016634,0.0016634
19,70.7562,1.19299,1.6114,0.5819,0.82848,1.54716,0.93435,1,0.98537,0.57871,0.82176,0.92308,0.8199,0.45667,1.3718,1.30942,0.63509,1.00577,1.74817,0.0016436,0.0016436,0.0016436
20,72.9362,1.01822,1.31432,0.59206,0.76229,1.38465,0.95845,1,0.97389,0.36045,0.95845,1,0.97389,0.60067,2.03842,1.22029,0.6184,1.62789,2.36773,0.0016238,0.0016238,0.0016238
21,75.0615,1.09178,1.4157,0.59707,0.77119,1.39762,0.93652,0.96154,0.96399,0.46839,0.97468,1,0.995,0.74164,1.62185,1.08424,0.58445,1.22617,2.02168,0.001604,0.001604,0.001604
22,77.3337,0.96885,1.39271,0.57793,0.75627,1.37363,0.97999,0.96154,0.99286,0.60764,0.97999,0.96154,0.99286,0.7585,1.23418,1.11039,0.6018,0.82964,1.67568,0.0015842,0.0015842,0.0015842
23,79.5399,0.99855,1.44462,0.57828,0.72887,1.33242,0.86415,1,0.97445,0.66832,0.86415,1,0.97445,0.66686,1.14323,1.38825,0.60456,0.79796,1.60594,0.0015644,0.0015644,0.0015644
24,81.6792,1.06193,1.17867,0.57759,0.73902,1.42715,0.95592,0.96154,0.98882,0.63968,0.95592,0.96154,0.98882,0.64109,1.20098,1.28664,0.60619,0.75908,1.65879,0.0015446,0.0015446,0.0015446
25,83.9073,1.06354,1.14721,0.57221,0.68707,1.33003,0.96273,0.99381,0.99389,0.55551,0.96273,0.99381,0.99389,0.65505,1.41188,1.1433,0.61087,0.82787,1.84247,0.0015248,0.0015248,0.0015248
26,86.1425,1.02552,1.1721,0.57622,0.71337,1.30996,0.9776,1,0.995,0.60258,0.9776,1,0.995,0.75189,1.16848,0.92855,0.5801,0.81523,1.50857,0.001505,0.001505,0.001505
27,88.3339,1.03518,1.18848,0.56802,0.72851,1.42778,0.85655,0.91879,0.89166,0.37536,0.92828,0.99571,0.96298,0.75501,1.80728,0.8769,0.56164,1.07135,2.14152,0.0014852,0.0014852,0.0014852
28,90.4288,1.00852,1.07429,0.56767,0.66822,1.31833,0.90224,0.92308,0.97218,0.59845,0.95048,0.96154,0.98882,0.76477,1.25167,0.8976,0.54699,0.84646,1.77039,0.0014654,0.0014654,0.0014654
29,92.6934,0.93669,0.88816,0.57878,0.62549,1.35328,0.95798,1,0.99389,0.67129,0.95798,1,0.99389,0.71186,1.14646,0.87176,0.5484,0.7409,1.66312,0.0014456,0.0014456,0.0014456
30,94.9919,0.85576,0.88959,0.56946,0.62066,1.24698,0.99612,1,0.995,0.71047,0.99612,1,0.995,0.74495,1.00099,0.72754,0.51741,0.7018,1.49075,0.0014258,0.0014258,0.0014258
31,97.4723,0.93419,0.9097,0.56017,0.69556,1.33359,0.99446,1,0.995,0.68223,0.99446,1,0.995,0.7321,1.09858,0.71829,0.50192,0.61346,1.52357,0.001406,0.001406,0.001406
32,100.104,0.92721,0.75755,0.56912,0.65622,1.32972,0.91851,1,0.9808,0.53413,0.88224,0.96154,0.94723,0.68317,1.5108,0.82442,0.50064,0.72459,1.95119,0.0013862,0.0013862,0.0013862
33,102.677,1.00688,1.06528,0.56273,0.66284,1.29204,0.99476,1,0.995,0.51159,0.99476,1,0.995,0.73941,1.64867,0.74672,0.5158,0.74147,2.15893,0.0013664,0.0013664,0.0013664
34,104.967,1.03436,1.00292,0.5671,0.69586,1.39446,0.99307,1,0.995,0.56167,0.99307,1,0.995,0.89815,1.41312,0.58476,0.53111,0.72163,1.84323,0.0013466,0.0013466,0.0013466
35,107.543,0.8844,0.99964,0.56234,0.59447,1.28405,0.99661,1,0.995,0.7592,0.99661,1,0.995,0.90254,0.86774,0.67842,0.54421,0.5534,1.30593,0.0013268,0.0013268,0.0013268
36,109.97,0.93088,0.92617,0.55046,0.64302,1.32471,0.99688,1,0.995,0.69032,0.99688,1,0.995,0.89266,1.10077,0.75816,0.57726,0.56525,1.4383,0.001307,0.001307,0.001307
37,112.56,0.91205,0.76196,0.55239,0.64381,1.24888,0.95992,1,0.995,0.63546,0.95992,1,0.995,0.87406,1.3809,0.70666,0.57619,0.64786,1.62721,0.0012872,0.0012872,0.0012872
38,114.995,0.97218,0.87806,0.54237,0.66164,1.25766,0.99158,1,0.995,0.68401,0.99158,1,0.995,0.91661,1.25183,0.52659,0.53085,0.62284,1.5207,0.0012674,0.0012674,0.0012674
39,117.473,0.97875,0.89972,0.54575,0.63251,1.32383,0.96219,1,0.995,0.7478,0.96219,1,0.995,0.91267,0.95583,0.60577,0.48666,0.53926,1.32049,0.0012476,0.0012476,0.0012476
40,119.835,0.97613,0.85921,0.51527,0.63255,1.33688,0.98103,1,0.995,0.73256,0.98103,1,0.995,0.92252,1.05221,0.57534,0.48763,0.55358,1.34863,0.0012278,0.0012278,0.0012278
41,122.049,0.98094,1.02474,0.51593,0.64416,1.32979,0.96389,1,0.995,0.59988,0.96389,1,0.995,0.89669,1.41717,0.61597,0.49051,0.69294,1.56602,0.001208,0.001208,0.001208
42,124.324,0.89276,0.80292,0.48102,0.62745,1.25973,0.98819,1,0.995,0.59567,0.98819,1,0.995,0.91607,1.56505,0.55857,0.48635,0.75012,1.68936,0.0011882,0.0011882,0.0011882
43,126.353,0.83088,0.77506,0.51174,0.61404,1.22806,0.996,1,0.995,0.68251,0.996,1,0.995,0.88336,1.13301,0.49109,0.49624,0.56502,1.4681,0.0011684,0.0011684,0.0011684
44,128.468,0.86275,0.78897,0.53213,0.61601,1.29073,0.99638,1,0.995,0.64263,0.99638,1,0.995,0.84788,1.08517,0.50679,0.5037,0.57816,1.42005,0.0011486,0.0011486,0.0011486
45,130.559,0.87422,0.72262,0.50154,0.64241,1.27223,0.89253,1,0.97649,0.69444,0.89253,1,0.97649,0.84442,0.96523,0.47007,0.49851,0.59155,1.30345,0.0011288,0.0011288,0.0011288
46,132.659,0.87079,0.6747,0.48625,0.64577,1.26243,0.99312,1,0.995,0.72398,0.99312,1,0.995,0.87143,0.96572,0.42465,0.48399,0.59573,1.31595,0.001109,0.001109,0.001109
47,134.777,0.8503,0.86107,0.4828,0.63939,1.22671,0.99606,1,0.995,0.64934,0.99606,1,0.995,0.80482,1.20607,0.54228,0.47945,0.67974,1.55935,0.0010892,0.0010892,0.0010892
48,136.973,0.8635,0.82902,0.47866,0.61954,1.27105,0.98445,0.96154,0.99286,0.62537,0.99457,1,0.995,0.7874,1.30559,0.58059,0.47158,0.666,1.64538,0.0010694,0.0010694,0.0010694
49,139.282,0.95234,0.69823,0.50392,0.67696,1.28276,1,0.99106,0.995,0.57403,1,0.99106,0.995,0.79157,1.3376,0.57242,0.46668,0.71191,1.64875,0.0010496,0.0010496,0.0010496
50,141.514,0.91563,0.72098,0.50494,0.6278,1.33872,0.99675,1,0.995,0.5206,0.99675,1,0.995,0.86206,1.46429,0.52219,0.47859,0.64632,1.72484,0.0010298,0.0010298,0.0010298
51,143.787,0.89058,0.66531,0.50866,0.59178,1.25166,0.99388,1,0.995,0.6451,0.99388,1,0.995,0.87733,1.12791,0.60973,0.52446,0.57599,1.42724,0.00101,0.00101,0.00101
52,145.912,0.82005,0.84174,0.50714,0.58827,1.27993,0.99568,1,0.995,0.66053,0.99568,1,0.995,0.87966,1.18775,0.62603,0.53644,0.54215,1.46741,0.0009902,0.0009902,0.0009902
53,148.14,0.76885,0.6633,0.51597,0.57757,1.19814,0.99625,1,0.995,0.64141,0.99625,1,0.995,0.8855,1.3059,0.55604,0.54592,0.56901,1.5814,0.0009704,0.0009704,0.0009704
54,150.353,0.82474,0.61856,0.48957,0.59791,1.23596,0.99453,1,0.995,0.6304,0.99453,1,0.995,0.89468,1.33721,0.50417,0.5196,0.60751,1.6415,0.0009506,0.0009506,0.0009506
55,152.545,0.81703,0.52058,0.46788,0.57822,1.22022,0.98871,1,0.995,0.67147,0.98871,1,0.995,0.87972,1.15086,0.56708,0.49947,0.59137,1.58776,0.0009308,0.0009308,0.0009308
56,154.699,0.77841,0.5766,0.48395,0.57395,1.24254,0.99202,1,0.995,0.72135,0.99202,1,0.995,0.88726,1.01652,0.54825,0.48697,0.51326,1.46319,0.000911,0.000911,0.000911
57,156.9,0.73709,0.62356,0.47233,0.54074,1.20614,0.99742,1,0.995,0.72582,0.99742,1,0.995,0.90839,1.01702,0.46414,0.49707,0.47403,1.43796,0.0008912,0.0008912,0.0008912
58,159.239,0.83193,0.59966,0.46487,0.60625,1.22451,0.99749,1,0.995,0.68146,0.99749,1,0.995,0.91633,1.13953,0.38718,0.51876,0.52289,1.48443,0.0008714,0.0008714,0.0008714
59,161.477,0.79013,0.75445,0.4718,0.57514,1.21356,0.99703,1,0.995,0.6618,0.99703,1,0.995,0.93855,1.26875,0.3789,0.52506,0.53082,1.52846,0.0008516,0.0008516,0.0008516
60,163.76,0.75161,0.58496,0.4527,0.54771,1.20568,0.99698,1,0.995,0.68885,0.99698,1,0.995,0.94392,1.12534,0.34551,0.50879,0.49263,1.40856,0.0008318,0.0008318,0.0008318
61,166.038,0.81564,0.62461,0.46547,0.56526,1.20515,0.99737,1,0.995,0.73899,0.99737,1,0.995,0.94455,0.96288,0.29249,0.49056,0.49077,1.3116,0.000812,0.000812,0.000812
62,168.256,0.70941,0.6641,0.4634,0.51946,1.16616,0.99726,1,0.995,0.77758,0.99726,1,0.995,0.9329,0.88574,0.29704,0.45765,0.47519,1.26424,0.0007922,0.0007922,0.0007922
63,170.353,0.70734,0.58208,0.45396,0.4898,1.15946,0.99709,1,0.995,0.78249,0.99709,1,0.995,0.91306,0.85883,0.33305,0.43337,0.44744,1.24191,0.0007724,0.0007724,0.0007724
