epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0582,2.3044,3.92506,1.53551,0.0024,0.2,0.11592,0.10261,1.88083,3.95617,1.40284,3.333e-05,3.333e-05,3.333e-05
2,31.1655,1.97941,3.80527,1.43061,0.00231,0.2,0.191,0.16945,1.69007,3.98413,1.27429,7.64868e-05,7.64868e-05,7.64868e-05
3,33.1879,1.75879,3.7233,1.22753,0.0024,0.2,0.199,0.17287,1.6756,4.00407,1.18553,0.000118177,0.000118177,0.000118177
4,35.2365,1.69651,3.60608,1.1532,0.00243,0.2,0.199,0.16064,1.69689,4.00046,1.08492,0.000158401,0.000158401,0.000158401
5,37.016,1.68134,3.4486,1.12129,0.00256,0.2,0.199,0.15394,1.65625,3.96118,1.05011,0.000197158,0.000197158,0.000197158
6,39.7845,1.59937,3.18093,1.07576,0.00243,0.2,0.199,0.14825,1.59987,3.94485,1.02803,0.000234449,0.000234449,0.000234449
7,42.9384,1.58956,3.05849,1.08472,0.0024,0.2,0.199,0.16029,1.48081,3.89268,1.00401,0.000270273,0.000270273,0.000270273
8,44.8836,1.56009,2.86011,1.04129,0.00242,0.2,0.199,0.16595,1.4694,3.88268,0.99657,0.000304631,0.000304631,0.000304631
9,46.7141,1.57172,2.77895,1.07902,0.00249,0.2,0.199,0.16928,1.50503,3.84484,1.00012,0.000337522,0.000337522,0.000337522
10,48.7092,1.56269,2.58171,1.04157,0.0034,0.20889,0.19906,0.147,1.53813,3.78374,1.01097,0.000368946,0.000368946,0.000368946
11,50.408,1.61503,2.48921,1.04003,0.01872,0.33556,0.30705,0.239,1.5295,3.67527,0.99733,0.000398905,0.000398905,0.000398905
12,52.0708,1.63806,2.3069,1.0292,0.01675,0.44,0.42845,0.354,1.51347,3.57925,0.98781,0.000427396,0.000427396,0.000427396
13,54.6415,1.60779,2.19198,1.07931,0.01416,0.45333,0.43512,0.36211,1.50168,3.46914,0.97739,0.000454421,0.000454421,0.000454421
14,57.6894,1.61827,2.01278,1.02186,1,0.14986,0.44669,0.3739,1.519,3.34891,0.98101,0.00047998,0.00047998,0.00047998
